Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'vg_starry_night.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 10000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/tubingen.png', 'style_img_path': 'data/style_images/vg_starry_night.jpg', 'dump_path': 'data/output_images/tubingen styled as vg_starry_night/100000 10000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=2458449346560.0000, content_loss=      0.0000, style loss=2458434080000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=2458448560128.0000, content_loss=      0.0006, style loss=2458433280000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=2458448297984.0000, content_loss=      0.0012, style loss=2458433120000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=2458444103680.0000, content_loss=      0.0335, style loss=2458428960000.0000, tv loss=15154274.0000
LBFGS | iteration: 005, total loss=2458429161472.0000, content_loss=      0.4978, style loss=2458413920000.0000, tv loss=15154302.0000
LBFGS | iteration: 006, total loss=2458397966336.0000, content_loss=      3.3831, style loss=2458382720000.0000, tv loss=15154362.0000
LBFGS | iteration: 007, total loss=2458166755328.0000, content_loss=    102.3974, style loss=2458151680000.0000, tv loss=15154799.0000
LBFGS | iteration: 008, total loss=2456011145216.0000, content_loss=   7627.6787, style loss=2455996000000.0000, tv loss=15158882.0000
LBFGS | iteration: 009, total loss=2445088653312.0000, content_loss= 224383.4972, style loss=2445073280000.0000, tv loss=15179677.0000
LBFGS | iteration: 010, total loss=2332333441024.0000, content_loss=16481275.9399, style loss=2332301440000.0000, tv loss=15412702.0000
LBFGS | iteration: 011, total loss=1218678095872.0000, content_loss=689809033.2031, style loss=1217967600000.0000, tv loss=20672652.0000
LBFGS | iteration: 012, total loss=3696561225728.0000, content_loss=2449620117.1875, style loss=3694077440000.0000, tv loss=34080820.0000
LBFGS | iteration: 013, total loss=761918062592.0000, content_loss=1271859863.2812, style loss=760621120000.0000, tv loss=25077324.0000
LBFGS | iteration: 014, total loss=494384676864.0000, content_loss=1607926855.4688, style loss=492749160000.0000, tv loss=27578468.0000
LBFGS | iteration: 015, total loss=277311127552.0000, content_loss=2014277148.4375, style loss=275266080000.0000, tv loss=30782708.0000
LBFGS | iteration: 016, total loss=169981214720.0000, content_loss=2171587695.3125, style loss=167776620000.0000, tv loss=33008550.0000
LBFGS | iteration: 017, total loss=118265102336.0000, content_loss=2324477929.6875, style loss=115905520000.0000, tv loss=35105256.0000
LBFGS | iteration: 018, total loss=84079525888.0000, content_loss=2407251757.8125, style loss=81635765000.0000, tv loss=36514136.0000
LBFGS | iteration: 019, total loss=74240434176.0000, content_loss=2623442382.8125, style loss=71578800000.0000, tv loss=38202968.0000
LBFGS | iteration: 020, total loss=58260176896.0000, content_loss=2579511914.0625, style loss=55642915000.0000, tv loss=37748596.0000
LBFGS | iteration: 021, total loss=49731813376.0000, content_loss=2644362500.0000, style loss=47049465000.0000, tv loss=37985636.0000
LBFGS | iteration: 022, total loss=38630367232.0000, content_loss=2844164062.5000, style loss=35747262500.0000, tv loss=38939276.0000
LBFGS | iteration: 023, total loss=30611779584.0000, content_loss=2947840820.3125, style loss=27624135000.0000, tv loss=39804984.0000
LBFGS | iteration: 024, total loss=26614931456.0000, content_loss=3032327148.4375, style loss=23542502500.0000, tv loss=40100024.0000
LBFGS | iteration: 025, total loss=24441835520.0000, content_loss=3004622656.2500, style loss=21397190000.0000, tv loss=40021984.0000
LBFGS | iteration: 026, total loss=23135406080.0000, content_loss=3057195312.5000, style loss=20037606250.0000, tv loss=40605536.0000
LBFGS | iteration: 027, total loss=20679548928.0000, content_loss=3019743750.0000, style loss=17619428750.0000, tv loss=40376112.0000
LBFGS | iteration: 028, total loss=18653104128.0000, content_loss=3028619726.5625, style loss=15584028750.0000, tv loss=40455288.0000
LBFGS | iteration: 029, total loss=16239512576.0000, content_loss=3061382226.5625, style loss=13137435000.0000, tv loss=40696088.0000
LBFGS | iteration: 030, total loss=14502149120.0000, content_loss=3073470898.4375, style loss=11387807500.0000, tv loss=40870792.0000
LBFGS | iteration: 031, total loss=13230145536.0000, content_loss=3077950976.5625, style loss=10111314375.0000, tv loss=40879880.0000
LBFGS | iteration: 032, total loss=14024250368.0000, content_loss=3120238867.1875, style loss=10862721250.0000, tv loss=41290676.0000
LBFGS | iteration: 033, total loss=12907054080.0000, content_loss=3093464062.5000, style loss=9772564375.0000, tv loss=41025272.0000
LBFGS | iteration: 034, total loss=12214756352.0000, content_loss=3099425976.5625, style loss=9074245625.0000, tv loss=41085352.0000
LBFGS | iteration: 035, total loss=11123323904.0000, content_loss=3118852343.7500, style loss=7963227500.0000, tv loss=41243216.0000
LBFGS | iteration: 036, total loss=10421320704.0000, content_loss=3126596093.7500, style loss=7253340000.0000, tv loss=41385320.0000
LBFGS | iteration: 037, total loss=10092262400.0000, content_loss=3145620312.5000, style loss=6905099375.0000, tv loss=41542768.0000
LBFGS | iteration: 038, total loss=9887593472.0000, content_loss=3131364648.4375, style loss=6714881875.0000, tv loss=41347216.0000
LBFGS | iteration: 039, total loss=9506582528.0000, content_loss=3128625195.3125, style loss=6336538750.0000, tv loss=41419176.0000
LBFGS | iteration: 040, total loss=9119681536.0000, content_loss=3122468554.6875, style loss=5955698750.0000, tv loss=41514120.0000
LBFGS | iteration: 041, total loss=8790358016.0000, content_loss=3112656250.0000, style loss=5636199375.0000, tv loss=41502664.0000
LBFGS | iteration: 042, total loss=8391857664.0000, content_loss=3107325585.9375, style loss=5242996875.0000, tv loss=41534836.0000
