Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'picasso_weeping_woman.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'random', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\picasso_weeping_woman.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as picasso_weeping_woman\\100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 045, total loss=4952420864.0000, content_loss=1701033398.4375, style loss=3187838250.0000, tv loss=63549292.0000
LBFGS | iteration: 046, total loss=4836171264.0000, content_loss=1671114453.1250, style loss=3101628250.0000, tv loss=63428628.0000
LBFGS | iteration: 047, total loss=4738680832.0000, content_loss=1655382226.5625, style loss=3019985250.0000, tv loss=63313340.0000
LBFGS | iteration: 048, total loss=4635039744.0000, content_loss=1631838964.8438, style loss=2939953000.0000, tv loss=63247956.0000
LBFGS | iteration: 049, total loss=4543288320.0000, content_loss=1611289550.7812, style loss=2868887750.0000, tv loss=63111096.0000
LBFGS | iteration: 050, total loss=4450694144.0000, content_loss=1581185742.1875, style loss=2806503750.0000, tv loss=63004916.0000
LBFGS | iteration: 051, total loss=4364869632.0000, content_loss=1576073828.1250, style loss=2725876250.0000, tv loss=62919696.0000
LBFGS | iteration: 052, total loss=4279844352.0000, content_loss=1541890820.3125, style loss=2675152750.0000, tv loss=62800996.0000
LBFGS | iteration: 053, total loss=4196233216.0000, content_loss=1534708789.0625, style loss=2598839750.0000, tv loss=62684680.0000
LBFGS | iteration: 054, total loss=4115986944.0000, content_loss=1498767968.7500, style loss=2554644250.0000, tv loss=62574608.0000
LBFGS | iteration: 055, total loss=4034437376.0000, content_loss=1496577343.7500, style loss=2475402250.0000, tv loss=62457840.0000
LBFGS | iteration: 056, total loss=3962424064.0000, content_loss=1457529003.9062, style loss=2442539250.0000, tv loss=62355712.0000
LBFGS | iteration: 057, total loss=3904487936.0000, content_loss=1464836425.7812, style loss=2377416750.0000, tv loss=62234676.0000
LBFGS | iteration: 058, total loss=3840362752.0000, content_loss=1445216992.1875, style loss=2332967750.0000, tv loss=62178056.0000
LBFGS | iteration: 059, total loss=3770949120.0000, content_loss=1423710351.5625, style loss=2285162000.0000, tv loss=62077008.0000
LBFGS | iteration: 060, total loss=3704237056.0000, content_loss=1416539550.7812, style loss=2225728250.0000, tv loss=61969320.0000
LBFGS | iteration: 061, total loss=3642141184.0000, content_loss=1389571191.4062, style loss=2190698750.0000, tv loss=61870992.0000
LBFGS | iteration: 062, total loss=3579347712.0000, content_loss=1386365820.3125, style loss=2131220250.0000, tv loss=61761840.0000
