Using config: {'content_img_name': 'mona_lisa.jpeg', 'style_img_name': 'candy.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\mona_lisa.jpeg', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\candy.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\mona_lisa styled as candy\\100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 046, total loss=1927538944.0000, content_loss=910739941.4062, style loss=1005013812.5000, tv loss=11785180.0000
LBFGS | iteration: 047, total loss=1906225152.0000, content_loss=913346777.3438, style loss=981064062.5000, tv loss=11814344.0000
LBFGS | iteration: 048, total loss=1877927680.0000, content_loss=902141113.2812, style loss=963922062.5000, tv loss=11864607.0000
LBFGS | iteration: 049, total loss=1851891456.0000, content_loss=906312597.6562, style loss=933672000.0000, tv loss=11906812.0000
LBFGS | iteration: 050, total loss=1830375552.0000, content_loss=904323144.5312, style loss=914136687.5000, tv loss=11915640.0000
LBFGS | iteration: 051, total loss=1814029824.0000, content_loss=895695410.1562, style loss=906392500.0000, tv loss=11941904.0000
LBFGS | iteration: 052, total loss=1793022976.0000, content_loss=897400976.5625, style loss=883644937.5000, tv loss=11977065.0000
LBFGS | iteration: 053, total loss=1775270016.0000, content_loss=882134765.6250, style loss=881139812.5000, tv loss=11995418.0000
LBFGS | iteration: 054, total loss=1758828800.0000, content_loss=894770605.4688, style loss=852010812.5000, tv loss=12047407.0000
LBFGS | iteration: 055, total loss=1748002048.0000, content_loss=894295800.7812, style loss=841724000.0000, tv loss=11982192.0000
LBFGS | iteration: 056, total loss=1739416704.0000, content_loss=881948828.1250, style loss=845336312.5000, tv loss=12131544.0000
LBFGS | iteration: 057, total loss=1720593408.0000, content_loss=886747070.3125, style loss=821756062.5000, tv loss=12090312.0000
LBFGS | iteration: 058, total loss=1708075136.0000, content_loss=883193066.4062, style loss=812819250.0000, tv loss=12062846.0000
LBFGS | iteration: 059, total loss=1686675328.0000, content_loss=876728320.3125, style loss=797788562.5000, tv loss=12158500.0000
LBFGS | iteration: 060, total loss=1668783360.0000, content_loss=876685253.9062, style loss=779939812.5000, tv loss=12158242.0000
LBFGS | iteration: 061, total loss=1653100032.0000, content_loss=872731445.3125, style loss=768177812.5000, tv loss=12190662.0000
LBFGS | iteration: 062, total loss=1642004864.0000, content_loss=874143261.7188, style loss=755616687.5000, tv loss=12244842.0000
LBFGS | iteration: 063, total loss=1629536384.0000, content_loss=872898046.8750, style loss=744417000.0000, tv loss=12221297.0000
LBFGS | iteration: 064, total loss=1618301952.0000, content_loss=860630273.4375, style loss=745378812.5000, tv loss=12292808.0000
LBFGS | iteration: 065, total loss=1606541184.0000, content_loss=871450390.6250, style loss=722796062.5000, tv loss=12294809.0000
LBFGS | iteration: 066, total loss=1597228800.0000, content_loss=864791992.1875, style loss=720118937.5000, tv loss=12317992.0000
LBFGS | iteration: 067, total loss=1586722944.0000, content_loss=858814257.8125, style loss=715590312.5000, tv loss=12318340.0000
LBFGS | iteration: 068, total loss=1577597568.0000, content_loss=862158593.7500, style loss=703038687.5000, tv loss=12400298.0000
LBFGS | iteration: 069, total loss=1568545024.0000, content_loss=854229785.1562, style loss=701978062.5000, tv loss=12337197.0000
LBFGS | iteration: 070, total loss=1561096832.0000, content_loss=857215722.6562, style loss=691519687.5000, tv loss=12361354.0000
LBFGS | iteration: 071, total loss=1552127744.0000, content_loss=856520800.7812, style loss=683189750.0000, tv loss=12417122.0000
LBFGS | iteration: 072, total loss=1542372736.0000, content_loss=858166894.5312, style loss=671794687.5000, tv loss=12411186.0000
LBFGS | iteration: 073, total loss=1537088896.0000, content_loss=845304394.5312, style loss=679298062.5000, tv loss=12486488.0000
LBFGS | iteration: 074, total loss=1526977408.0000, content_loss=849962500.0000, style loss=664583125.0000, tv loss=12431709.0000
LBFGS | iteration: 075, total loss=1521003904.0000, content_loss=852749902.3438, style loss=655810937.5000, tv loss=12442994.0000
LBFGS | iteration: 076, total loss=1513033600.0000, content_loss=849707812.5000, style loss=650848375.0000, tv loss=12477252.0000
