Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'wave_crop.jpg', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 30000.0, 'tv_weight': 1.0, 'init_img': 'random', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\tubingen.png', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\wave_crop.jpg', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\tubingen styled as wave_crop\\100000 30000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 045, total loss=27230973952.0000, content_loss=3750039453.1250, style loss=23387964375.0000, tv loss=92971488.0000
LBFGS | iteration: 046, total loss=26596390912.0000, content_loss=3770023046.8750, style loss=22733394375.0000, tv loss=92973184.0000
LBFGS | iteration: 047, total loss=25659752448.0000, content_loss=3805468750.0000, style loss=21761475000.0000, tv loss=92810144.0000
LBFGS | iteration: 048, total loss=25082427392.0000, content_loss=3785290625.0000, style loss=21204465000.0000, tv loss=92669840.0000
LBFGS | iteration: 049, total loss=24355747840.0000, content_loss=3775860546.8750, style loss=20487303750.0000, tv loss=92583104.0000
LBFGS | iteration: 050, total loss=23390451712.0000, content_loss=3775280078.1250, style loss=19522762500.0000, tv loss=92406864.0000
LBFGS | iteration: 051, total loss=22703173632.0000, content_loss=3803229296.8750, style loss=18807661875.0000, tv loss=92283680.0000
LBFGS | iteration: 052, total loss=22288586752.0000, content_loss=3776105078.1250, style loss=18420339375.0000, tv loss=92144488.0000
LBFGS | iteration: 053, total loss=21915666432.0000, content_loss=3759360546.8750, style loss=18064203750.0000, tv loss=92101840.0000
LBFGS | iteration: 054, total loss=21472806912.0000, content_loss=3771766796.8750, style loss=17609053125.0000, tv loss=91987416.0000
LBFGS | iteration: 055, total loss=20842692608.0000, content_loss=3777476953.1250, style loss=16973428125.0000, tv loss=91786352.0000
LBFGS | iteration: 056, total loss=20395493376.0000, content_loss=3777872265.6250, style loss=16525861875.0000, tv loss=91758952.0000
LBFGS | iteration: 057, total loss=20034048000.0000, content_loss=3758108984.3750, style loss=16184293125.0000, tv loss=91646792.0000
LBFGS | iteration: 058, total loss=19596283904.0000, content_loss=3764970703.1250, style loss=15739777500.0000, tv loss=91535536.0000
LBFGS | iteration: 059, total loss=19101100032.0000, content_loss=3755826562.5000, style loss=15253912500.0000, tv loss=91362208.0000
LBFGS | iteration: 060, total loss=18687367168.0000, content_loss=3761424609.3750, style loss=14834665312.5000, tv loss=91276648.0000
LBFGS | iteration: 061, total loss=18358024192.0000, content_loss=3748678515.6250, style loss=14518143750.0000, tv loss=91201408.0000
LBFGS | iteration: 062, total loss=18089730048.0000, content_loss=3750927734.3750, style loss=14247667500.0000, tv loss=91133872.0000
LBFGS | iteration: 063, total loss=17849686016.0000, content_loss=3735142578.1250, style loss=14023590000.0000, tv loss=90954288.0000
LBFGS | iteration: 064, total loss=17440661504.0000, content_loss=3749332031.2500, style loss=13600397812.5000, tv loss=90931168.0000
LBFGS | iteration: 065, total loss=17266638848.0000, content_loss=3747195703.1250, style loss=13428551250.0000, tv loss=90890960.0000
LBFGS | iteration: 066, total loss=16820868096.0000, content_loss=3737625000.0000, style loss=12992644687.5000, tv loss=90598072.0000
LBFGS | iteration: 067, total loss=16392621056.0000, content_loss=3724902343.7500, style loss=12577151250.0000, tv loss=90567904.0000
LBFGS | iteration: 068, total loss=16117882880.0000, content_loss=3746818359.3750, style loss=12280597500.0000, tv loss=90467192.0000
LBFGS | iteration: 069, total loss=15951921152.0000, content_loss=3733751562.5000, style loss=12127825312.5000, tv loss=90344496.0000
LBFGS | iteration: 070, total loss=15760342016.0000, content_loss=3734768750.0000, style loss=11935241250.0000, tv loss=90331792.0000
LBFGS | iteration: 071, total loss=15474612224.0000, content_loss=3727209765.6250, style loss=11657159062.5000, tv loss=90243952.0000
LBFGS | iteration: 072, total loss=15178713088.0000, content_loss=3723154296.8750, style loss=11365512187.5000, tv loss=90046368.0000
LBFGS | iteration: 073, total loss=14866695168.0000, content_loss=3706830078.1250, style loss=11069901562.5000, tv loss=89963200.0000
LBFGS | iteration: 074, total loss=14711399424.0000, content_loss=3712635546.8750, style loss=10908847500.0000, tv loss=89916608.0000
LBFGS | iteration: 075, total loss=14541071360.0000, content_loss=3707693359.3750, style loss=10743672187.5000, tv loss=89706424.0000
LBFGS | iteration: 076, total loss=14271591424.0000, content_loss=3715043359.3750, style loss=10466899687.5000, tv loss=89648224.0000
LBFGS | iteration: 077, total loss=14139539456.0000, content_loss=3701278515.6250, style loss=10348662187.5000, tv loss=89598704.0000
LBFGS | iteration: 078, total loss=14004857856.0000, content_loss=3695089843.7500, style loss=10220247187.5000, tv loss=89521432.0000
LBFGS | iteration: 079, total loss=13817475072.0000, content_loss=3690740234.3750, style loss=10037280000.0000, tv loss=89454576.0000
LBFGS | iteration: 080, total loss=13694364672.0000, content_loss=3708908203.1250, style loss=9896183437.5000, tv loss=89272344.0000
LBFGS | iteration: 081, total loss=13487158272.0000, content_loss=3699803906.2500, style loss=9698033437.5000, tv loss=89320224.0000
LBFGS | iteration: 082, total loss=13415690240.0000, content_loss=3674762109.3750, style loss=9651699375.0000, tv loss=89228584.0000
LBFGS | iteration: 083, total loss=13287276544.0000, content_loss=3685169140.6250, style loss=9512886562.5000, tv loss=89221056.0000
LBFGS | iteration: 084, total loss=13178525696.0000, content_loss=3689240234.3750, style loss=9400124062.5000, tv loss=89160720.0000
LBFGS | iteration: 085, total loss=13049266176.0000, content_loss=3684935546.8750, style loss=9275255625.0000, tv loss=89074248.0000
LBFGS | iteration: 086, total loss=12791179264.0000, content_loss=3670194921.8750, style loss=9032097187.5000, tv loss=88886928.0000
LBFGS | iteration: 087, total loss=12608403456.0000, content_loss=3679239453.1250, style loss=8840418750.0000, tv loss=88746312.0000
LBFGS | iteration: 088, total loss=12474603520.0000, content_loss=3656060546.8750, style loss=8729916562.5000, tv loss=88625856.0000
LBFGS | iteration: 089, total loss=12388086784.0000, content_loss=3654676953.1250, style loss=8644757812.5000, tv loss=88653136.0000
LBFGS | iteration: 090, total loss=12281303040.0000, content_loss=3660383984.3750, style loss=8532339375.0000, tv loss=88580264.0000
LBFGS | iteration: 091, total loss=12171104256.0000, content_loss=3659362500.0000, style loss=8423241562.5000, tv loss=88500200.0000
LBFGS | iteration: 092, total loss=12005582848.0000, content_loss=3655212109.3750, style loss=8261969062.5000, tv loss=88402176.0000
LBFGS | iteration: 093, total loss=11851857920.0000, content_loss=3639611328.1250, style loss=8123978437.5000, tv loss=88268720.0000
LBFGS | iteration: 094, total loss=11712572416.0000, content_loss=3648429687.5000, style loss=7975898437.5000, tv loss=88244072.0000
LBFGS | iteration: 095, total loss=11650472960.0000, content_loss=3640285546.8750, style loss=7922039062.5000, tv loss=88148360.0000
LBFGS | iteration: 096, total loss=11552677888.0000, content_loss=3632737890.6250, style loss=7831852500.0000, tv loss=88087816.0000
LBFGS | iteration: 097, total loss=11407017984.0000, content_loss=3632223828.1250, style loss=7686837656.2500, tv loss=87956712.0000
LBFGS | iteration: 098, total loss=11254047744.0000, content_loss=3628088671.8750, style loss=7538109843.7500, tv loss=87848848.0000
LBFGS | iteration: 099, total loss=11149507584.0000, content_loss=3620447265.6250, style loss=7441314375.0000, tv loss=87745176.0000
LBFGS | iteration: 100, total loss=11078901760.0000, content_loss=3626222656.2500, style loss=7364923125.0000, tv loss=87756296.0000
LBFGS | iteration: 101, total loss=10988322816.0000, content_loss=3626158203.1250, style loss=7274503125.0000, tv loss=87661648.0000
LBFGS | iteration: 102, total loss=10907194368.0000, content_loss=3613301953.1250, style loss=7206307031.2500, tv loss=87585656.0000
LBFGS | iteration: 103, total loss=10813148160.0000, content_loss=3612256640.6250, style loss=7113374531.2500, tv loss=87516432.0000
LBFGS | iteration: 104, total loss=10685901824.0000, content_loss=3605976953.1250, style loss=6992519531.2500, tv loss=87405144.0000
LBFGS | iteration: 105, total loss=10568105984.0000, content_loss=3608033593.7500, style loss=6872765625.0000, tv loss=87306816.0000
LBFGS | iteration: 106, total loss=10486977536.0000, content_loss=3598876953.1250, style loss=6800902031.2500, tv loss=87199072.0000
LBFGS | iteration: 107, total loss=10397946880.0000, content_loss=3595694921.8750, style loss=6715100156.2500, tv loss=87151680.0000
LBFGS | iteration: 108, total loss=10339893248.0000, content_loss=3603621875.0000, style loss=6649278281.2500, tv loss=86992696.0000
LBFGS | iteration: 109, total loss=10253125632.0000, content_loss=3602518750.0000, style loss=6563572968.7500, tv loss=87033360.0000
LBFGS | iteration: 110, total loss=10178180096.0000, content_loss=3590640625.0000, style loss=6500546250.0000, tv loss=86994232.0000
LBFGS | iteration: 111, total loss=10120181760.0000, content_loss=3588644531.2500, style loss=6444609843.7500, tv loss=86926848.0000
LBFGS | iteration: 112, total loss=10003638272.0000, content_loss=3583494921.8750, style loss=6333361875.0000, tv loss=86781960.0000
LBFGS | iteration: 113, total loss=9892917248.0000, content_loss=3589341015.6250, style loss=6216926718.7500, tv loss=86649776.0000
LBFGS | iteration: 114, total loss=9803709440.0000, content_loss=3577564453.1250, style loss=6139547343.7500, tv loss=86597376.0000
LBFGS | iteration: 115, total loss=9752557568.0000, content_loss=3572769921.8750, style loss=6093233906.2500, tv loss=86553744.0000
LBFGS | iteration: 116, total loss=9686626304.0000, content_loss=3567925390.6250, style loss=6032248593.7500, tv loss=86452472.0000
