Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'okeffe_red_canna.png', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 1000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'data/content_images/tubingen.png', 'style_img_path': 'data/style_images/okeffe_red_canna.png', 'dump_path': 'data/output_images/tubingen styled as okeffe_red_canna/100000 1000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 049, total loss=3852942336.0000, content_loss=954022460.9375, style loss=2883463250.0000, tv loss=15456675.0000
LBFGS | iteration: 050, total loss=3791723008.0000, content_loss=961541601.5625, style loss=2814521250.0000, tv loss=15660067.0000
LBFGS | iteration: 051, total loss=3730512384.0000, content_loss=951494628.9062, style loss=2763444750.0000, tv loss=15573070.0000
LBFGS | iteration: 052, total loss=3669057792.0000, content_loss=958324121.0938, style loss=2694989000.0000, tv loss=15744664.0000
LBFGS | iteration: 053, total loss=3608040704.0000, content_loss=953255175.7812, style loss=2639073500.0000, tv loss=15711883.0000
LBFGS | iteration: 054, total loss=3550139392.0000, content_loss=955965527.3438, style loss=2578349500.0000, tv loss=15824504.0000
LBFGS | iteration: 055, total loss=3492966144.0000, content_loss=952424511.7188, style loss=2524700500.0000, tv loss=15841403.0000
LBFGS | iteration: 056, total loss=3437285888.0000, content_loss=952042871.0938, style loss=2469343250.0000, tv loss=15899734.0000
LBFGS | iteration: 057, total loss=3382898688.0000, content_loss=951769628.9062, style loss=2415190750.0000, tv loss=15938367.0000
LBFGS | iteration: 058, total loss=3329481728.0000, content_loss=951138964.8438, style loss=2362360750.0000, tv loss=15982042.0000
LBFGS | iteration: 059, total loss=3278475008.0000, content_loss=949602441.4062, style loss=2312858750.0000, tv loss=16014207.0000
LBFGS | iteration: 060, total loss=3228235264.0000, content_loss=948958300.7812, style loss=2263215750.0000, tv loss=16061205.0000
LBFGS | iteration: 061, total loss=3179614976.0000, content_loss=948067675.7812, style loss=2215448000.0000, tv loss=16099438.0000
LBFGS | iteration: 062, total loss=3132269312.0000, content_loss=946919042.9688, style loss=2169224500.0000, tv loss=16125802.0000
LBFGS | iteration: 063, total loss=3085846272.0000, content_loss=947149707.0312, style loss=2122508000.0000, tv loss=16188744.0000
LBFGS | iteration: 064, total loss=3041089792.0000, content_loss=944562011.7188, style loss=2080340000.0000, tv loss=16187997.0000
LBFGS | iteration: 065, total loss=2997909248.0000, content_loss=946530371.0938, style loss=2035086000.0000, tv loss=16292860.0000
LBFGS | iteration: 066, total loss=2956515072.0000, content_loss=941862597.6562, style loss=1998435375.0000, tv loss=16217144.0000
LBFGS | iteration: 067, total loss=2917513984.0000, content_loss=948428125.0000, style loss=1952666000.0000, tv loss=16419948.0000
LBFGS | iteration: 068, total loss=2877578496.0000, content_loss=940231250.0000, style loss=1921062125.0000, tv loss=16285162.0000
LBFGS | iteration: 069, total loss=2838164480.0000, content_loss=942750000.0000, style loss=1878984375.0000, tv loss=16430125.0000
LBFGS | iteration: 070, total loss=2800443392.0000, content_loss=939908496.0938, style loss=1844116000.0000, tv loss=16418822.0000
LBFGS | iteration: 071, total loss=2765586432.0000, content_loss=940365527.3438, style loss=1808749500.0000, tv loss=16471529.0000
LBFGS | iteration: 072, total loss=2730905344.0000, content_loss=939140136.7188, style loss=1775275500.0000, tv loss=16489654.0000
LBFGS | iteration: 073, total loss=2697097472.0000, content_loss=939318457.0312, style loss=1741238000.0000, tv loss=16540870.0000
LBFGS | iteration: 074, total loss=2664391680.0000, content_loss=937190234.3750, style loss=1710652125.0000, tv loss=16549441.0000
LBFGS | iteration: 075, total loss=2633758464.0000, content_loss=937384082.0312, style loss=1679765500.0000, tv loss=16608930.0000
LBFGS | iteration: 076, total loss=2602971392.0000, content_loss=934762402.3438, style loss=1651604000.0000, tv loss=16604890.0000
LBFGS | iteration: 077, total loss=2573380608.0000, content_loss=935926269.5312, style loss=1620758500.0000, tv loss=16695827.0000
LBFGS | iteration: 078, total loss=2544287232.0000, content_loss=932472460.9375, style loss=1595152000.0000, tv loss=16662884.0000
LBFGS | iteration: 079, total loss=2516285696.0000, content_loss=934166015.6250, style loss=1565349875.0000, tv loss=16769854.0000
LBFGS | iteration: 080, total loss=2487696896.0000, content_loss=931293261.7188, style loss=1539668625.0000, tv loss=16734872.0000
LBFGS | iteration: 081, total loss=2461371648.0000, content_loss=932450976.5625, style loss=1512102875.0000, tv loss=16817698.0000
LBFGS | iteration: 082, total loss=2434974976.0000, content_loss=929688769.5312, style loss=1488478625.0000, tv loss=16807576.0000
LBFGS | iteration: 083, total loss=2409278208.0000, content_loss=929664062.5000, style loss=1462735625.0000, tv loss=16878500.0000
LBFGS | iteration: 084, total loss=2383739648.0000, content_loss=927434277.3438, style loss=1439424500.0000, tv loss=16880784.0000
LBFGS | iteration: 085, total loss=2359298816.0000, content_loss=927996777.3438, style loss=1414356125.0000, tv loss=16945878.0000
LBFGS | iteration: 086, total loss=2334961920.0000, content_loss=926012695.3125, style loss=1392008875.0000, tv loss=16940200.0000
LBFGS | iteration: 087, total loss=2311481600.0000, content_loss=926498046.8750, style loss=1367965750.0000, tv loss=17017872.0000
LBFGS | iteration: 088, total loss=2287963136.0000, content_loss=924619726.5625, style loss=1346337875.0000, tv loss=17005616.0000
LBFGS | iteration: 089, total loss=2265918208.0000, content_loss=925245898.4375, style loss=1323575250.0000, tv loss=17097052.0000
LBFGS | iteration: 090, total loss=2243192064.0000, content_loss=922177246.0938, style loss=1303940125.0000, tv loss=17074660.0000
LBFGS | iteration: 091, total loss=2221836032.0000, content_loss=924313574.2188, style loss=1280345500.0000, tv loss=17176744.0000
LBFGS | iteration: 092, total loss=2199831296.0000, content_loss=921224804.6875, style loss=1261449000.0000, tv loss=17157374.0000
LBFGS | iteration: 093, total loss=2179038976.0000, content_loss=921696679.6875, style loss=1240104625.0000, tv loss=17237684.0000
LBFGS | iteration: 094, total loss=2157561600.0000, content_loss=920040820.3125, style loss=1220276750.0000, tv loss=17243954.0000
LBFGS | iteration: 095, total loss=2137095936.0000, content_loss=921499609.3750, style loss=1198279000.0000, tv loss=17317418.0000
LBFGS | iteration: 096, total loss=2116741248.0000, content_loss=919713476.5625, style loss=1179700625.0000, tv loss=17327288.0000
LBFGS | iteration: 097, total loss=2097028736.0000, content_loss=920489355.4688, style loss=1159137125.0000, tv loss=17402284.0000
LBFGS | iteration: 098, total loss=2077486080.0000, content_loss=917478027.3438, style loss=1142610625.0000, tv loss=17397384.0000
LBFGS | iteration: 099, total loss=2058985728.0000, content_loss=919173925.7812, style loss=1122326375.0000, tv loss=17485312.0000
LBFGS | iteration: 100, total loss=2040085760.0000, content_loss=916334472.6562, style loss=1106271500.0000, tv loss=17479860.0000
LBFGS | iteration: 101, total loss=2022033920.0000, content_loss=918909082.0312, style loss=1085541875.0000, tv loss=17582954.0000
LBFGS | iteration: 102, total loss=2003609600.0000, content_loss=916826953.1250, style loss=1069222750.0000, tv loss=17559894.0000
LBFGS | iteration: 103, total loss=1986525056.0000, content_loss=918376855.4688, style loss=1050491875.0000, tv loss=17656302.0000
LBFGS | iteration: 104, total loss=1969188096.0000, content_loss=916165625.0000, style loss=1035371437.5000, tv loss=17650984.0000
LBFGS | iteration: 105, total loss=1953135616.0000, content_loss=915709765.6250, style loss=1019706937.5000, tv loss=17718952.0000
LBFGS | iteration: 106, total loss=1937331328.0000, content_loss=914984179.6875, style loss=1004611250.0000, tv loss=17735814.0000
LBFGS | iteration: 107, total loss=1922562944.0000, content_loss=914190136.7188, style loss=990590500.0000, tv loss=17782228.0000
LBFGS | iteration: 108, total loss=1907502336.0000, content_loss=914467480.4688, style loss=975214562.5000, tv loss=17820292.0000
LBFGS | iteration: 109, total loss=1892120320.0000, content_loss=913184570.3125, style loss=961086500.0000, tv loss=17849164.0000
LBFGS | iteration: 110, total loss=1877291776.0000, content_loss=913541699.2188, style loss=945836687.5000, tv loss=17913360.0000
LBFGS | iteration: 111, total loss=1862455936.0000, content_loss=912255761.7188, style loss=932284000.0000, tv loss=17916158.0000
LBFGS | iteration: 112, total loss=1848780160.0000, content_loss=915047167.9688, style loss=915718812.5000, tv loss=18014148.0000
LBFGS | iteration: 113, total loss=1835424896.0000, content_loss=910249609.3750, style loss=907220812.5000, tv loss=17954388.0000
LBFGS | iteration: 114, total loss=1822187904.0000, content_loss=912766210.9375, style loss=891344000.0000, tv loss=18077740.0000
LBFGS | iteration: 115, total loss=1808187776.0000, content_loss=910520800.7812, style loss=879607312.5000, tv loss=18059632.0000
LBFGS | iteration: 116, total loss=1795607040.0000, content_loss=910246484.3750, style loss=867255250.0000, tv loss=18105292.0000
LBFGS | iteration: 117, total loss=1782937984.0000, content_loss=910360253.9062, style loss=854445937.5000, tv loss=18131778.0000
LBFGS | iteration: 118, total loss=1770400384.0000, content_loss=908729589.8438, style loss=843504312.5000, tv loss=18166396.0000
LBFGS | iteration: 119, total loss=1758189824.0000, content_loss=908488183.5938, style loss=831517750.0000, tv loss=18183888.0000
LBFGS | iteration: 120, total loss=1746695040.0000, content_loss=908099121.0938, style loss=820373000.0000, tv loss=18222922.0000
LBFGS | iteration: 121, total loss=1735428096.0000, content_loss=907349316.4062, style loss=809850187.5000, tv loss=18228572.0000
LBFGS | iteration: 122, total loss=1724353792.0000, content_loss=906931640.6250, style loss=799145062.5000, tv loss=18277118.0000
LBFGS | iteration: 123, total loss=1713561344.0000, content_loss=905464941.4062, style loss=789838687.5000, tv loss=18257672.0000
LBFGS | iteration: 124, total loss=1703782272.0000, content_loss=907400097.6562, style loss=778040562.5000, tv loss=18341468.0000
LBFGS | iteration: 125, total loss=1693364096.0000, content_loss=903058789.0625, style loss=772014562.5000, tv loss=18290648.0000
LBFGS | iteration: 126, total loss=1683232384.0000, content_loss=907407910.1562, style loss=757458937.5000, tv loss=18365544.0000
LBFGS | iteration: 127, total loss=1672726784.0000, content_loss=903853808.5938, style loss=750509437.5000, tv loss=18363558.0000
LBFGS | iteration: 128, total loss=1663260800.0000, content_loss=902946582.0312, style loss=741951562.5000, tv loss=18362800.0000
LBFGS | iteration: 129, total loss=1653569024.0000, content_loss=901605371.0938, style loss=733571812.5000, tv loss=18391844.0000
LBFGS | iteration: 130, total loss=1644176640.0000, content_loss=901034863.2812, style loss=724753312.5000, tv loss=18388484.0000
LBFGS | iteration: 131, total loss=1634836224.0000, content_loss=900983984.3750, style loss=715435500.0000, tv loss=18416704.0000
LBFGS | iteration: 132, total loss=1625903872.0000, content_loss=900051464.8438, style loss=707444250.0000, tv loss=18408224.0000
LBFGS | iteration: 133, total loss=1617360128.0000, content_loss=900152343.7500, style loss=698767000.0000, tv loss=18440894.0000
LBFGS | iteration: 134, total loss=1608916352.0000, content_loss=898577343.7500, style loss=691922812.5000, tv loss=18416260.0000
LBFGS | iteration: 135, total loss=1601231104.0000, content_loss=898939160.1562, style loss=683825437.5000, tv loss=18466594.0000
LBFGS | iteration: 136, total loss=1593143168.0000, content_loss=896713769.5312, style loss=678000500.0000, tv loss=18428818.0000
LBFGS | iteration: 137, total loss=1585414528.0000, content_loss=896596582.0312, style loss=670362187.5000, tv loss=18455736.0000
LBFGS | iteration: 138, total loss=1577433728.0000, content_loss=896149121.0938, style loss=662832437.5000, tv loss=18452062.0000
LBFGS | iteration: 139, total loss=1570082432.0000, content_loss=895160058.5938, style loss=656471687.5000, tv loss=18450632.0000
LBFGS | iteration: 140, total loss=1562502272.0000, content_loss=894137402.3438, style loss=649908562.5000, tv loss=18456360.0000
LBFGS | iteration: 141, total loss=1555171328.0000, content_loss=893815136.7188, style loss=642902437.5000, tv loss=18453758.0000
LBFGS | iteration: 142, total loss=1548008320.0000, content_loss=891918847.6562, style loss=637639187.5000, tv loss=18450320.0000
LBFGS | iteration: 143, total loss=1541255936.0000, content_loss=892508496.0938, style loss=630297437.5000, tv loss=18450000.0000
LBFGS | iteration: 144, total loss=1534419328.0000, content_loss=890818066.4062, style loss=625163937.5000, tv loss=18437266.0000
LBFGS | iteration: 145, total loss=1528012032.0000, content_loss=890927832.0312, style loss=618634875.0000, tv loss=18449356.0000
LBFGS | iteration: 146, total loss=1521611136.0000, content_loss=888984863.2812, style loss=614207625.0000, tv loss=18418688.0000
LBFGS | iteration: 147, total loss=1516206208.0000, content_loss=890161328.1250, style loss=607586937.5000, tv loss=18457952.0000
LBFGS | iteration: 148, total loss=1509644928.0000, content_loss=888176171.8750, style loss=603053812.5000, tv loss=18415024.0000
LBFGS | iteration: 149, total loss=1503701248.0000, content_loss=887170605.4688, style loss=598112437.5000, tv loss=18418176.0000
LBFGS | iteration: 150, total loss=1497907200.0000, content_loss=887619824.2188, style loss=591876250.0000, tv loss=18411190.0000
LBFGS | iteration: 151, total loss=1492430848.0000, content_loss=886144531.2500, style loss=587886187.5000, tv loss=18400100.0000
LBFGS | iteration: 152, total loss=1486926720.0000, content_loss=886109863.2812, style loss=582430250.0000, tv loss=18386516.0000
LBFGS | iteration: 153, total loss=1481416064.0000, content_loss=884288378.9062, style loss=578746812.5000, tv loss=18380980.0000
LBFGS | iteration: 154, total loss=1476128512.0000, content_loss=884498339.8438, style loss=573265937.5000, tv loss=18364148.0000
LBFGS | iteration: 155, total loss=1470974976.0000, content_loss=883478710.9375, style loss=569140562.5000, tv loss=18355748.0000
LBFGS | iteration: 156, total loss=1465844864.0000, content_loss=882738574.2188, style loss=564767750.0000, tv loss=18338508.0000
LBFGS | iteration: 157, total loss=1461092608.0000, content_loss=882677636.7188, style loss=560083812.5000, tv loss=18331164.0000
LBFGS | iteration: 158, total loss=1456440960.0000, content_loss=882366308.5938, style loss=555773562.5000, tv loss=18301060.0000
LBFGS | iteration: 159, total loss=1451940736.0000, content_loss=881927734.3750, style loss=551704625.0000, tv loss=18308354.0000
LBFGS | iteration: 160, total loss=1446969856.0000, content_loss=879741796.8750, style loss=548948000.0000, tv loss=18280018.0000
LBFGS | iteration: 161, total loss=1442580480.0000, content_loss=880296582.0312, style loss=544013562.5000, tv loss=18270334.0000
LBFGS | iteration: 162, total loss=1438043392.0000, content_loss=879298144.5312, style loss=540492625.0000, tv loss=18252544.0000
LBFGS | iteration: 163, total loss=1433632256.0000, content_loss=878352246.0938, style loss=537046187.5000, tv loss=18233900.0000
LBFGS | iteration: 164, total loss=1429300992.0000, content_loss=878279199.2188, style loss=532810687.5000, tv loss=18211084.0000
LBFGS | iteration: 165, total loss=1425207680.0000, content_loss=876743652.3438, style loss=530265437.5000, tv loss=18198568.0000
LBFGS | iteration: 166, total loss=1421192320.0000, content_loss=876989550.7812, style loss=526028687.5000, tv loss=18174072.0000
