Using config: {'content_img_name': 'tubingen.png', 'style_img_name': 'okeffe_red_canna.png', 'neural_net': 'VGG19', 'content_weight': 100000.0, 'style_weight': 30000.0, 'tv_weight': 1.0, 'init_img': 'content', 'optimizer': 'LBFGS', 'content_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\content_images\\tubingen.png', 'style_img_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\style_images\\okeffe_red_canna.png', 'dump_path': 'E:\\M.Sc. Data Science\\3rd Sem\\Neural Style Transfer\\Neural-Style-Transfer\\data\\output_images\\tubingen styled as okeffe_red_canna\\100000 30000 1'}

Loaded images

Initialized Optimizing image

Generated feature maps

Starting LBFGS Optimization

LBFGS | iteration: 001, total loss=812402409472.0000, content_loss=      0.0000, style loss=812387280000.0000, tv loss=15154265.0000
LBFGS | iteration: 002, total loss=812400967680.0000, content_loss=      0.0038, style loss=812385840000.0000, tv loss=15154265.0000
LBFGS | iteration: 003, total loss=812394479616.0000, content_loss=      0.0888, style loss=812379360000.0000, tv loss=15154265.0000
LBFGS | iteration: 004, total loss=812358303744.0000, content_loss=      2.6507, style loss=812343180000.0000, tv loss=15154250.0000
LBFGS | iteration: 005, total loss=812073615360.0000, content_loss=    147.2673, style loss=812058480000.0000, tv loss=15154161.0000
LBFGS | iteration: 006, total loss=810596106240.0000, content_loss=   4454.4488, style loss=810580980000.0000, tv loss=15153690.0000
LBFGS | iteration: 007, total loss=794731151360.0000, content_loss= 438062.8109, style loss=794715540000.0000, tv loss=15148526.0000
LBFGS | iteration: 008, total loss=669125509120.0000, content_loss=35837487.7930, style loss=669074580000.0000, tv loss=15100792.0000
LBFGS | iteration: 009, total loss=457652699136.0000, content_loss=309971386.7188, style loss=457327770000.0000, tv loss=14943408.0000
LBFGS | iteration: 010, total loss=356175413248.0000, content_loss=587295654.2969, style loss=355573410000.0000, tv loss=14711886.0000
LBFGS | iteration: 011, total loss=288793985024.0000, content_loss=897219238.2812, style loss=287882370000.0000, tv loss=14393328.0000
LBFGS | iteration: 012, total loss=252484026368.0000, content_loss=1146507519.5312, style loss=251323425000.0000, tv loss=14093374.0000
LBFGS | iteration: 013, total loss=231439253504.0000, content_loss=1295630078.1250, style loss=230129745000.0000, tv loss=13884915.0000
LBFGS | iteration: 014, total loss=217219760128.0000, content_loss=1390188769.5312, style loss=215815845000.0000, tv loss=13731038.0000
LBFGS | iteration: 015, total loss=205991542784.0000, content_loss=1448820605.4688, style loss=204529125000.0000, tv loss=13601887.0000
LBFGS | iteration: 016, total loss=196460462080.0000, content_loss=1484435644.5312, style loss=194962545000.0000, tv loss=13487979.0000
LBFGS | iteration: 017, total loss=188180758528.0000, content_loss=1507560058.5938, style loss=186659820000.0000, tv loss=13388964.0000
LBFGS | iteration: 018, total loss=180980416512.0000, content_loss=1529277636.7188, style loss=179437815000.0000, tv loss=13312674.0000
LBFGS | iteration: 019, total loss=174437515264.0000, content_loss=1556160253.9062, style loss=172868115000.0000, tv loss=13260108.0000
LBFGS | iteration: 020, total loss=168617869312.0000, content_loss=1584249609.3750, style loss=167020395000.0000, tv loss=13228674.0000
LBFGS | iteration: 021, total loss=163330146304.0000, content_loss=1609332031.2500, style loss=161707605000.0000, tv loss=13210748.0000
LBFGS | iteration: 022, total loss=158372544512.0000, content_loss=1632029785.1562, style loss=156727305000.0000, tv loss=13201046.0000
LBFGS | iteration: 023, total loss=153778307072.0000, content_loss=1653890625.0000, style loss=152111220000.0000, tv loss=13205762.0000
LBFGS | iteration: 024, total loss=149419540480.0000, content_loss=1676596679.6875, style loss=147729720000.0000, tv loss=13228496.0000
LBFGS | iteration: 025, total loss=145180524544.0000, content_loss=1701074804.6875, style loss=143466180000.0000, tv loss=13273246.0000
LBFGS | iteration: 026, total loss=141162971136.0000, content_loss=1724700585.9375, style loss=139424940000.0000, tv loss=13334265.0000
LBFGS | iteration: 027, total loss=137254346752.0000, content_loss=1747553906.2500, style loss=135493395000.0000, tv loss=13403499.0000
LBFGS | iteration: 028, total loss=133469224960.0000, content_loss=1770929296.8750, style loss=131684805000.0000, tv loss=13490964.0000
LBFGS | iteration: 029, total loss=129761132544.0000, content_loss=1791810742.1875, style loss=127955730000.0000, tv loss=13589393.0000
LBFGS | iteration: 030, total loss=126151720960.0000, content_loss=1812945898.4375, style loss=124325070000.0000, tv loss=13702115.0000
LBFGS | iteration: 031, total loss=122627301376.0000, content_loss=1834956445.3125, style loss=120778507500.0000, tv loss=13833554.0000
LBFGS | iteration: 032, total loss=119170965504.0000, content_loss=1856303906.2500, style loss=117300690000.0000, tv loss=13967264.0000
LBFGS | iteration: 033, total loss=115748495360.0000, content_loss=1875778320.3125, style loss=113858610000.0000, tv loss=14106478.0000
LBFGS | iteration: 034, total loss=112373399552.0000, content_loss=1895265625.0000, style loss=110463862500.0000, tv loss=14271426.0000
LBFGS | iteration: 035, total loss=109122248704.0000, content_loss=1912972070.3125, style loss=107194852500.0000, tv loss=14427968.0000
LBFGS | iteration: 036, total loss=105989521408.0000, content_loss=1928700976.5625, style loss=104046247500.0000, tv loss=14570660.0000
LBFGS | iteration: 037, total loss=102961684480.0000, content_loss=1944663085.9375, style loss=101002297500.0000, tv loss=14723762.0000
LBFGS | iteration: 038, total loss=100077199360.0000, content_loss=1959419335.9375, style loss=98102902500.0000, tv loss=14876076.0000
LBFGS | iteration: 039, total loss=97293860864.0000, content_loss=1972680468.7500, style loss=95306167500.0000, tv loss=15008320.0000
LBFGS | iteration: 040, total loss=94624268288.0000, content_loss=1986033984.3750, style loss=92623087500.0000, tv loss=15145380.0000
LBFGS | iteration: 041, total loss=92087345152.0000, content_loss=1996967382.8125, style loss=90075120000.0000, tv loss=15259116.0000
LBFGS | iteration: 042, total loss=89674145792.0000, content_loss=2010443750.0000, style loss=87648330000.0000, tv loss=15376906.0000
LBFGS | iteration: 043, total loss=87328415744.0000, content_loss=2019467968.7500, style loss=85293487500.0000, tv loss=15461724.0000
LBFGS | iteration: 044, total loss=85093294080.0000, content_loss=2030493164.0625, style loss=83047230000.0000, tv loss=15572986.0000
LBFGS | iteration: 045, total loss=82912534528.0000, content_loss=2035215429.6875, style loss=80861707500.0000, tv loss=15616238.0000
LBFGS | iteration: 046, total loss=80791625728.0000, content_loss=2048832226.5625, style loss=78727050000.0000, tv loss=15736388.0000
LBFGS | iteration: 047, total loss=78712365056.0000, content_loss=2051572851.5625, style loss=76645057500.0000, tv loss=15736989.0000
LBFGS | iteration: 048, total loss=76711141376.0000, content_loss=2071929492.1875, style loss=74623312500.0000, tv loss=15902959.0000
LBFGS | iteration: 049, total loss=74727669760.0000, content_loss=2066103320.3125, style loss=72645742500.0000, tv loss=15823583.0000
LBFGS | iteration: 050, total loss=72782692352.0000, content_loss=2091278320.3125, style loss=70675372500.0000, tv loss=16043448.0000
LBFGS | iteration: 051, total loss=70825492480.0000, content_loss=2082836132.8125, style loss=68726722500.0000, tv loss=15940840.0000
LBFGS | iteration: 052, total loss=68897284096.0000, content_loss=2101432617.1875, style loss=66779767500.0000, tv loss=16082174.0000
LBFGS | iteration: 053, total loss=66991644672.0000, content_loss=2103535937.5000, style loss=64872030000.0000, tv loss=16077755.0000
LBFGS | iteration: 054, total loss=65123344384.0000, content_loss=2115218164.0625, style loss=62991967500.0000, tv loss=16157962.0000
LBFGS | iteration: 055, total loss=63320748032.0000, content_loss=2120743554.6875, style loss=61183818750.0000, tv loss=16183796.0000
LBFGS | iteration: 056, total loss=61562470400.0000, content_loss=2129569335.9375, style loss=59416676250.0000, tv loss=16227832.0000
LBFGS | iteration: 057, total loss=59857547264.0000, content_loss=2134561718.7500, style loss=57706736250.0000, tv loss=16248524.0000
LBFGS | iteration: 058, total loss=58199027712.0000, content_loss=2141630859.3750, style loss=56041095000.0000, tv loss=16301583.0000
LBFGS | iteration: 059, total loss=56583323648.0000, content_loss=2147457031.2500, style loss=54419538750.0000, tv loss=16326140.0000
LBFGS | iteration: 060, total loss=54997549056.0000, content_loss=2154837304.6875, style loss=52826336250.0000, tv loss=16377840.0000
LBFGS | iteration: 061, total loss=53476126720.0000, content_loss=2157095312.5000, style loss=51302655000.0000, tv loss=16375676.0000
LBFGS | iteration: 062, total loss=52028444672.0000, content_loss=2168855664.0625, style loss=49843121250.0000, tv loss=16467252.0000
LBFGS | iteration: 063, total loss=50654658560.0000, content_loss=2167501562.5000, style loss=48470748750.0000, tv loss=16409042.0000
LBFGS | iteration: 064, total loss=49374765056.0000, content_loss=2186281250.0000, style loss=47171891250.0000, tv loss=16594936.0000
LBFGS | iteration: 065, total loss=48132710400.0000, content_loss=2174716406.2500, style loss=45941550000.0000, tv loss=16441841.0000
LBFGS | iteration: 066, total loss=46907650048.0000, content_loss=2191680273.4375, style loss=44699351250.0000, tv loss=16616638.0000
LBFGS | iteration: 067, total loss=45696069632.0000, content_loss=2190120898.4375, style loss=43489361250.0000, tv loss=16584454.0000
LBFGS | iteration: 068, total loss=44543987712.0000, content_loss=2194757226.5625, style loss=42332598750.0000, tv loss=16633252.0000
LBFGS | iteration: 069, total loss=43420684288.0000, content_loss=2199777148.4375, style loss=41204242500.0000, tv loss=16664548.0000
LBFGS | iteration: 070, total loss=42294161408.0000, content_loss=2204550781.2500, style loss=40072916250.0000, tv loss=16696634.0000
LBFGS | iteration: 071, total loss=41203589120.0000, content_loss=2205861523.4375, style loss=38981006250.0000, tv loss=16723795.0000
LBFGS | iteration: 072, total loss=40177491968.0000, content_loss=2209574218.7500, style loss=37951162500.0000, tv loss=16752216.0000
LBFGS | iteration: 073, total loss=39168602112.0000, content_loss=2214101367.1875, style loss=36937702500.0000, tv loss=16796264.0000
LBFGS | iteration: 074, total loss=38172020736.0000, content_loss=2217378906.2500, style loss=35937821250.0000, tv loss=16820494.0000
LBFGS | iteration: 075, total loss=37201371136.0000, content_loss=2223773437.5000, style loss=34960728750.0000, tv loss=16869596.0000
LBFGS | iteration: 076, total loss=36292706304.0000, content_loss=2226051562.5000, style loss=34049782500.0000, tv loss=16870524.0000
LBFGS | iteration: 077, total loss=35430817792.0000, content_loss=2233810742.1875, style loss=33180033750.0000, tv loss=16975668.0000
